variety;year;price
Cabernet Franc-Cabernet Sa;-1;
Cabernet Franc-Cabernet Sa;2008;22.0
Cabernet Franc-Cabernet Sa;2009;21.5
Cabernet Franc-Cabernet Sa;2010;23.5
Cabernet Franc-Cabernet Sa;2011;60.0
Cabernet Franc-Cabernet Sa;2012;38.0
Cabernet Franc-Cabernet Sa;2013;52.5
Cabernet Franc-Cabernet Sa;2014;17.3333333333
Cabernet Franc-Cabernet Sa;2015;17.0
Cabernet Franc-Carmenère ;2011;12.0
Cabernet Franc-Carmenère ;2012;12.0
Cabernet Franc-Lemberger  ;2013;20.0
Cabernet Franc-Lemberger  ;2015;20.0
Cabernet Franc-Malbec     ;2012;38.0
Cabernet Franc-Malbec     ;2013;79.0
Cabernet Franc-Merlot     ;2009;59.0
Cabernet Franc-Merlot     ;2010;38.75
Cabernet Franc-Merlot     ;2011;42.5
Cabernet Franc-Merlot     ;2012;47.5
Cabernet Franc-Merlot     ;2013;64.6666666667
Cabernet Franc-Merlot     ;2014;31.0
Cabernet Franc-Merlot     ;2015;23.0
Cabernet Merlot           ;-1;14.5
Cabernet Merlot           ;1848;40.0
Cabernet Merlot           ;2002;57.0
Cabernet Merlot           ;2003;29.0
Cabernet Merlot           ;2004;30.5
Cabernet Merlot           ;2005;14.5
Cabernet Merlot           ;2007;11.0
Cabernet Merlot           ;2008;12.3333333333
Cabernet Merlot           ;2011;25.0
Cabernet Merlot           ;2012;17.5
Cabernet Merlot           ;2013;8.0
Cabernet Merlot           ;2015;8.0
Cabernet Moravia          ;-1;18.0
Cabernet Moravia          ;2009;18.0
Cabernet Pfeffer          ;2010;25.0
Cabernet Pfeffer          ;2012;35.0
Cabernet Sauvignon        ;-1;17.4347826087
Cabernet Sauvignon        ;1840;75.0
Cabernet Sauvignon        ;1848;25.0
Cabernet Sauvignon        ;1852;22.0
Cabernet Sauvignon        ;1856;37.0
Cabernet Sauvignon        ;1870;30.0
Cabernet Sauvignon        ;1985;170.0
Cabernet Sauvignon        ;1986;170.0
Cabernet Sauvignon        ;1987;170.0
Cabernet Sauvignon        ;1989;14.0
Cabernet Sauvignon        ;1990;40.0
Cabernet Sauvignon        ;1991;160.0
Cabernet Sauvignon        ;1992;102.5
Cabernet Sauvignon        ;1994;82.5
Cabernet Sauvignon        ;1995;26.0
Cabernet Sauvignon        ;1996;38.8
Cabernet Sauvignon        ;1997;48.9098360656
Cabernet Sauvignon        ;1998;28.9423076923
Cabernet Sauvignon        ;1999;34.125
Cabernet Sauvignon        ;2000;24.2051282051
Cabernet Sauvignon        ;2001;28.9117647059
Cabernet Sauvignon        ;2002;27.3333333333
Cabernet Sauvignon        ;2003;45.8333333333
Cabernet Sauvignon        ;2004;53.1178861789
Cabernet Sauvignon        ;2005;45.1921487603
Cabernet Sauvignon        ;2006;42.3564547206
Cabernet Sauvignon        ;2007;46.8045977011
Cabernet Sauvignon        ;2008;50.3803863299
Cabernet Sauvignon        ;2009;50.6408376963
Cabernet Sauvignon        ;2010;49.8194444444
Cabernet Sauvignon        ;2011;44.0261519303
Cabernet Sauvignon        ;2012;54.4252088079
Cabernet Sauvignon        ;2013;54.0917207792
Cabernet Sauvignon        ;2014;42.3253164557
Cabernet Sauvignon        ;2015;17.554973822
Cabernet Sauvignon        ;2016;13.1363636364
Cabernet Sauvignon Grenach;2011;18.5
Cabernet Sauvignon-Barbera;1998;45.0
Cabernet Sauvignon-Caberne;2003;48.0
Cabernet Sauvignon-Caberne;2005;56.6666666667
Cabernet Sauvignon-Caberne;2006;22.0
Cabernet Sauvignon-Caberne;2007;31.0
Cabernet Sauvignon-Caberne;2008;42.0
Cabernet Sauvignon-Caberne;2009;57.5
Cabernet Sauvignon-Caberne;2010;58.5
Cabernet Sauvignon-Caberne;2011;50.0
Cabernet Sauvignon-Caberne;2012;30.0
Cabernet Sauvignon-Caberne;2013;45.0
Cabernet Sauvignon-Caberne;2014;32.0
Cabernet Sauvignon-Carmen�;2003;55.0
Cabernet Sauvignon-Carmen�;2005;20.0
Cabernet Sauvignon-Carmen�;2006;16.6666666667
Cabernet Sauvignon-Carmen�;2007;20.0
Cabernet Sauvignon-Carmen�;2008;32.4285714286
Cabernet Sauvignon-Carmen�;2009;22.3333333333
Cabernet Sauvignon-Carmen�;2010;16.4
Cabernet Sauvignon-Carmen�;2011;19.8
Cabernet Sauvignon-Carmen�;2012;38.4
Cabernet Sauvignon-Carmen�;2013;26.3333333333
Cabernet Sauvignon-Carmen�;2014;16.5
Cabernet Sauvignon-Carmen�;2015;19.25
Cabernet Sauvignon-Malbec ;2006;8.0
Cabernet Sauvignon-Malbec ;2007;10.0
Cabernet Sauvignon-Malbec ;2009;23.8
Cabernet Sauvignon-Malbec ;2010;56.0
Cabernet Sauvignon-Malbec ;2011;31.0
Cabernet Sauvignon-Malbec ;2012;36.0
Cabernet Sauvignon-Malbec ;2013;125.0
Cabernet Sauvignon-Malbec ;2014;49.5
Cabernet Sauvignon-Merlot ;-1;20.0
Cabernet Sauvignon-Merlot ;1848;25.0
Cabernet Sauvignon-Merlot ;1997;47.5
Cabernet Sauvignon-Merlot ;1998;51.0
Cabernet Sauvignon-Merlot ;1999;15.0
Cabernet Sauvignon-Merlot ;2000;15.2
Cabernet Sauvignon-Merlot ;2001;11.0
Cabernet Sauvignon-Merlot ;2002;12.6666666667
Cabernet Sauvignon-Merlot ;2003;32.5
Cabernet Sauvignon-Merlot ;2004;31.125
Cabernet Sauvignon-Merlot ;2005;19.375
Cabernet Sauvignon-Merlot ;2006;20.3333333333
Cabernet Sauvignon-Merlot ;2007;18.8333333333
Cabernet Sauvignon-Merlot ;2008;35.0
Cabernet Sauvignon-Merlot ;2009;36.6666666667
Cabernet Sauvignon-Merlot ;2010;36.2727272727
Cabernet Sauvignon-Merlot ;2011;30.0
Cabernet Sauvignon-Merlot ;2012;29.6666666667
Cabernet Sauvignon-Merlot ;2013;37.0
Cabernet Sauvignon-Merlot ;2014;20.5
Cabernet Sauvignon-Merlot ;2015;12.25
Cabernet Sauvignon-Merlot ;2016;11.6666666667
Cabernet Sauvignon-Merlot-;2009;10.0
Cabernet Sauvignon-Merlot-;2013;20.0
Cabernet Sauvignon-Sangiov;2007;45.0
