winery,avg_score
Anier                          ,90.0
Animale                        ,88.1666666667
Animo                          ,90.0
Anita et André Kuhnel          ,87.0
Ankal                          ,91.0
Ankh                           ,88.0
Ankida Ridge                   ,82.0
Anko                           ,86.375
Anna Maria Abbona              ,89.2857142857
Anna Spinato                   ,85.75
Annabella                      ,83.5
Anne Amie                      ,85.2
Annefield Vineyards            ,85.8
Annie's Lane                   ,87.0
Anomaly                        ,92.8333333333
Anonymous                      ,85.0
Anselma                        ,91.0
Anselmi                        ,88.3333333333
Anselmo Mendes                 ,90.8181818182
Ansgar Clüsserath              ,89.75
Ant Moore                      ,89.0
Anta                           ,83.5
Antadze                        ,90.0
Antale                         ,87.0
Anterra                        ,85.0
Anthill                        ,91.5
Anthonij Rupert                ,90.5
Anthony Nappa                  ,89.5952380952
Anthony Road                   ,87.5789473684
Anthropology                   ,86.0
Antic                          ,83.0
Antica                         ,91.3333333333
Antica Casa Vinicola Scarpa    ,88.0
Antica Corte                   ,85.9090909091
Antica Enotria                 ,86.75
Antica Fratta                  ,88.5
Antica Hirpinia                ,86.4
Antichi Vigneti di Cantalupo   ,91.0
Antichi Vinai 1877             ,88.375
Antico Borgo di Sugame         ,87.6666666667
Antico Castello                ,89.0
Antico Colle                   ,88.7777777778
Antier                         ,83.5
Antigal                        ,88.5
Antigua Bodega                 ,81.0
Antigua Bodega Stagnari        ,86.6666666667
Antinori                       ,91.4285714286
Antipodean                     ,83.0
Antiquum Farm                  ,91.6363636364
Antis                          ,86.0
Antiyal                        ,90.8666666667
Antler Hill                    ,87.0
Antoine et Rachel Olivier      ,87.0
Antoine Moltès & Fils          ,88.375
Antoine Sanzay                 ,88.0
Antoine Simoneau               ,85.0
AntoLin Cellars                ,88.5714285714
Antolini                       ,89.4285714286
Anton Bauer                    ,91.1714285714
Antonelli                      ,89.8888888889
Antonia Gazzi                  ,88.0
Antonin Rodet                  ,88.5
Antonini Ceresa                ,86.0
Antonino Tringali-Casanuova    ,87.7777777778
Antonio Caggiano               ,89.5
Antonio Cesar Cavalli          ,84.5
Antonio Gonzalez               ,82.5
Antonio Lopes Ribeiro          ,89.0
Antonio Mas                    ,89.0
Antonio Patric                 ,93.0
Antonio Sanguineti             ,87.0
Antoniolo                      ,92.25
Antonopoulos                   ,87.0
Antonutti                      ,87.4
Antucura                       ,85.7142857143
Anzivino                       ,93.0
Apaltagua                      ,85.6666666667
Apanta                         ,87.0
Apegadas Quinta Velha          ,92.0
Aperture                       ,92.5714285714
Apex                           ,87.875
Apex II                        ,83.0
Apogee                         ,92.0
Apolloni                       ,87.652173913
Apollonio                      ,86.2
Apothic                        ,86.0
Appollis                       ,84.0
Apriori                        ,88.5
Apsara                         ,87.6666666667
Apátsági                       ,90.0
Aquas                          ,83.0
Aquila del Torre               ,85.0
Aquilina                       ,89.0
Aquinas                        ,86.2727272727
Ara                            ,86.4
Arachon                        ,86.0
Aragus                         ,86.0
Araldica                       ,87.3333333333
Aramis                         ,87.0
Aranleón                       ,86.0
Aratás                         ,92.0
Arauco                         ,81.5
Araujo                         ,98.0
Arbiola                        ,87.5
Arbios                         ,87.3333333333
Arbol de Vida                  ,83.0
Arboleda                       ,87.1428571429
Arbor Bench Vineyards          ,86.0
Arbor Brook                    ,90.1052631579
Arbor Crest                    ,89.1290322581
Arbor Hill                     ,85.0
Arbéta                         ,87.0
Arcadian                       ,91.8333333333
Arcane Cellars                 ,88.0
Archer                         ,84.5
Archer Roose                   ,86.5
Archery Summit                 ,91.4680851064
Archeus                        ,88.0
Archgate Cellars               ,86.6666666667
Archimedes                     ,90.5
Archium                        ,88.8
Archival                       ,88.0
Arché                          ,85.0
Arcudi                         ,93.0
Ardales                        ,84.0
Ardenvoir                      ,91.0
Ardiri                         ,87.0
Ardiri Winery and Vineyards    ,85.0
Ardor                          ,90.6538461538
Arduini                        ,88.8333333333
Areo                           ,88.0
Aresti                         ,85.7755102041
Argami                         ,85.0
Argana                         ,83.0
Arge & Tina                    ,83.25
Argentiera                     ,89.0
Argento                        ,85.6315789474
Arger-Martucci                 ,88.6923076923
Argiano                        ,89.35
Argie                          ,86.5
Argillae                       ,87.1666666667
Argiolas                       ,89.0
Argot                          ,88.6
Argyle                         ,89.2820512821
Argyros                        ,87.6
Ariano Hermanos                ,86.0
Aril                           ,92.2
Arissa Jane                    ,85.0
Arista                         ,92.0697674419
Arizona Angel                  ,83.0
Arizona Stronghold             ,85.8
Arkenstone                     ,95.3333333333
Armand de Brignac              ,90.25
Armanino Family Cellars        ,88.5
Armas de Guerra                ,85.5
Armida                         ,88.5384615385
Armilla                        ,90.75
Armitage                       ,92.0
Armosa                         ,84.3333333333
Armstrong Family               ,87.5454545455
Arnaldo Caprai                 ,90.8095238095
Arnaldo Rivera                 ,87.75
Arnaud Baillot                 ,90.5
Arnaud de Villeneuve           ,87.6666666667
Arndorfer                      ,90.5
Arndt                          ,88.6666666667
Arnoux & Fils                  ,87.0
Arns                           ,85.0
Aromal                         ,80.0
AronHill                       ,87.3333333333
Arpepe                         ,91.625
Array                          ,90.0
Arrayán                        ,85.0
Arregi                         ,86.0
Arroba                         ,85.0
Arrocal                        ,88.5555555556
Arrogant Frog                  ,85.5
Arrow Creek                    ,83.1052631579
Arrowhead Mountain             ,83.5
Arrowhead Spring               ,86.0
Arrowood                       ,89.0227272727
Arroyo                         ,85.3333333333
Arrumaco                       ,84.5714285714
Art of Earth                   ,84.0
Artadi                         ,90.4074074074
Artemayor                      ,87.0
Artemovsk                      ,83.5
Artes del Sur                  ,85.0
Artesa                         ,88.6730769231
Artesana                       ,87.2
Artevino                       ,86.0
Artezin                        ,88.0
Arthur Metz                    ,87.5555555556
Arthur's Creek                 ,85.0
Artimino                       ,86.75
Artisan Uprising               ,88.6666666667
Artisan Wines DI Franz Scheider,89.4
Artner                         ,90.3571428571
Arunda                         ,87.6666666667
Arzuaga                        ,89.75
Arínzano                       ,85.6666666667
As Laxas                       ,90.5714285714
Ascencion                      ,87.6666666667
Ascension Cellars              ,87.0526315789
Ascevi Luwa                    ,85.75
Ascheri                        ,90.25
Asensio                        ,85.0
Ash Hollow                     ,87.5
Ashan                          ,90.6666666667
Ashland Vineyards              ,83.0
Ashokawna                      ,81.0
Aspaldi                        ,88.75
Assolati                       ,86.0
Assuli                         ,86.4
Astoria                        ,86.7407407407
Astorre Noti                   ,86.75
Astrale e Terra                ,85.6666666667
Astrales                       ,91.4545454545
Astrolabe                      ,89.1
Asuncion Ridge                 ,89.3913043478
Asunto de Vino                 ,85.75
Ata Rangi                      ,89.8571428571
Ataide da Costa Martins Seredo ,89.5
Atalaya                        ,87.7142857143
Atalaya do Mar                 ,86.0
Atalayas de Golbán             ,87.0
Atali Winery                   ,86.0
Atalon                         ,89.2222222222
Ataraxia                       ,89.6666666667
Ataíde Semedo                  ,91.0
Athair                         ,86.0
Athiná                         ,90.0
Aticus                         ,89.0
Atipax                         ,84.5
Atlas Peak                     ,89.6
Atmosphere                     ,88.6
Atrea                          ,89.5
Attems                         ,87.4375
Attic Cellar                   ,89.0
Atticus                        ,88.6666666667
Attilio Ghisolfi               ,91.0
Attimo                         ,85.0
Attis                          ,84.0
Atwater                        ,87.0545454545
Atze's Corner                  ,90.5
Au Bon Climat                  ,92.7333333333
Au Contraire                   ,91.8
Au Jus                         ,89.0
Au Pied du Mont Chauve         ,91.3
Au Sommet                      ,95.5
Aubichon Cellars               ,90.5555555556
Aubry                          ,90.7272727273
Auburn                         ,86.5
AuburnJames                    ,87.0833333333
Auclair                        ,88.3333333333
Audelssa                       ,87.0
Audrey et Christine Binner     ,87.0
Audubon Cellars                ,82.0
Augey                          ,85.75
August Briggs                  ,89.4615384615
August Kesseler                ,90.5909090909
August Ridge                   ,87.8
August Truth                   ,87.3333333333
August West                    ,89.9285714286
Augusta Winery                 ,84.6666666667
Auguste Bonhomme               ,87.0
Aura                           ,86.5
Aurelio Settimo                ,91.0
Aurielle                       ,91.0
Auriga                         ,86.0
Aurora                         ,83.0
Aurora Cellars                 ,82.0
Aurum                          ,87.0
Auspicion                      ,84.5
Austerity                      ,85.7142857143
Austin Hope                    ,89.2
Authentique                    ,89.5
Autonom                        ,87.5
Autoritas                      ,85.5
Autry Cellars                  ,84.0
Autréau de Champillon          ,88.5
Autumn Hill                    ,84.3333333333
AVA Grace Vineyards            ,86.25
Avaler                         ,88.0
Avalon                         ,87.0
Avancia                        ,88.125
Avant                          ,88.0
Avanthia                       ,89.3333333333
Avantis                        ,86.0
Avanzi                         ,87.5
Aveleda                        ,87.55
Avelina                        ,86.5
Avennia                        ,91.652173913
Avenue                         ,84.0
Aver Family Vineyards          ,88.6153846154
Avery Lane                     ,85.5
Avia                           ,86.0
Avide                          ,87.2
Avignonesi                     ,91.2857142857
Avignonesi-Capannelle          ,91.0
Avissi                         ,86.0
Avondale                       ,89.1666666667
Avontuur                       ,88.0
Awatere River                  ,88.6666666667
Awning                         ,88.0
Axios                          ,90.0
Axis Mundi                     ,87.0
Ayala                          ,91.0
Aylin                          ,86.0
Aymara                         ,85.8333333333
Ayoub                          ,92.7647058824
Azabache                       ,82.0
Azalea Springs                 ,93.0
Azamor                         ,89.6666666667
Azari                          ,88.6
Azelia                         ,92.0
Azienda Agricola Cogno         ,87.2857142857
Azienda Agricola Milazzo       ,83.0
AZS                            ,92.0
Azur                           ,85.0
Año Verde                      ,88.0
Añoro                          ,86.0
B Cellars                      ,91.5128205128
B Side                         ,89.25
B Vintners                     ,89.5
B&E;                           ,85.5
B. Leighton                    ,93.0
B. Lovely                      ,81.0
B.R. Cohn                      ,87.7826086957
Babcock                        ,89.8805970149
Babich                         ,89.75
Baby Bear                      ,91.5
Bacalhôa Wines of Portugal     ,87.6769230769
Baccinetti                     ,87.625
Bach                           ,87.0
Bachelder                      ,89.5
Bacigalupi                     ,89.6666666667
Bacio della Luna               ,86.0
Bacio Divino                   ,89.1818181818
Back Seat                      ,83.0
Backhouse                      ,83.1666666667
Backsberg                      ,86.4285714286
Backstage Winery               ,88.0
Badger Hound                   ,84.0
Badger Mountain                ,86.5
Badia a Coltibuono             ,89.25
Badia di Morrona               ,87.2857142857
Baehner Fournier               ,88.6
Baer                           ,90.7037037037
Baglio Curatolo Arini 1875     ,85.8571428571
Baglio del Cristo di Campobello,88.6774193548
Baglio di Pianetto             ,87.2222222222
Bagrationi 1882                ,84.6666666667
Bagueri                        ,88.5
Baica                          ,90.0
Baigorri                       ,89.0
Bailarin                       ,93.0
Baileyana                      ,90.2272727273
Bailiwick                      ,90.24
Bailli de Bourg                ,85.5
Bailli de Provence             ,84.6
Bailly-Lapierre                ,88.8787878788
Baily                          ,89.2
Bain's Way                     ,86.0
Baiocchi Wines                 ,89.8666666667
Baiting Hollow Farm Vineyard   ,85.2
Baja Tanga                     ,83.0
Baker & Brain                  ,90.6666666667
Baker Lane                     ,91.1428571429
Balancing Act                  ,88.3333333333
Balbas                         ,91.5
Balboa                         ,89.0
Baldacci                       ,92.1333333333
Baldassari Family Wines        ,87.3333333333
Balderdash                     ,85.0
Baldetti Alfonso               ,86.0
Baldi                          ,85.3333333333
Balduzzi                       ,85.4
Balestri Valda                 ,88.5
Balgownie Estate               ,90.25
Balia di Zola                  ,88.0
