winery,avg_score
Barnstormer                    ,87.8
Baron Cooper                   ,84.0
Baron d'Arignac                ,85.0
Baron de Escal                 ,85.5
Baron De Ley                   ,87.2857142857
Baron Ermengaud                ,89.0
Baron Gassier                  ,84.5
Baron Herzog                   ,84.6666666667
Baron Knyphausen               ,88.6666666667
Baron Philippe de Rothschild   ,85.0967741935
Baroncini                      ,80.0
Barone                         ,85.0
Barone Cornacchia              ,86.75
Barone di Villagrande          ,90.3333333333
Barone Fini                    ,84.0
Barone Montalto                ,86.0
Barone Ricasoli                ,88.6
Barone Sergio                  ,87.5
Baronet                        ,87.0
Barons                         ,85.0
Barons V                       ,90.5
Barossa Valley Estate          ,86.0
Barra                          ,84.25
Barra of Mendocino             ,85.1428571429
Barrel Racer                   ,85.6666666667
Barrel Ranch                   ,90.0
Barrel Road                    ,88.0
Barren Ridge                   ,84.0
Barreto                        ,83.3333333333
Barrister                      ,90.5
Barrière Frères                ,85.5
Barros                         ,88.6666666667
Barrymore                      ,88.5
Barrymore by Carmel Road       ,90.0
Bartali                        ,86.5
Bartenura                      ,82.0
Bartho Eksteen                 ,91.5
Barton & Guestier              ,85.2537313433
Barzagoso                      ,84.0
Barão de Vilar                 ,87.8888888889
Basel Cellars                  ,87.0
Basico                         ,84.0
Basilicus                      ,88.0
Basilisco                      ,91.4
Bask                           ,84.0
Bastgen                        ,88.25
Bastianich                     ,85.8571428571
Bastide des Deux Lunes         ,86.0
Batasiolo                      ,88.0
Battaglio                      ,87.5
Battle Axe                     ,81.0
Battle Creek                   ,87.3333333333
Battle of Bosworth             ,85.0
Batzella                       ,88.7142857143
Batán de Salas                 ,85.0
Bauer                          ,87.0
Baumann                        ,85.5
Bautista Simona                ,85.0
Bava                           ,89.0
Baywood                        ,82.0
BBQ Wine Company               ,86.6
Beach Head                     ,86.0
Beach Kite                     ,82.6666666667
Bearboat                       ,86.75
Beastly Vines                  ,89.0
Beau Joubert                   ,86.6315789474
Beaucanon                      ,85.5
Beaulieu Vineyard              ,85.4375
Beaumont                       ,89.1111111111
Beaumont des Crayères          ,89.0
Beautiful Dream                ,82.0
Becker                         ,87.0
Beckmen                        ,86.3333333333
Beckon                         ,88.0
Bedarra                        ,85.5
Bedell                         ,83.0
Bedouet                        ,88.0
Beelgara                       ,85.0
Begali                         ,85.6
Bejot Vins et Terroirs         ,90.0
Bel Arbor                      ,86.0
Bel Colle                      ,89.3333333333
Bel Lago                       ,87.5
Belasco de Baquedano           ,87.0
Beldui                         ,83.0
Bele Casel                     ,85.75
Belharra                       ,90.0
Belhurst                       ,86.6363636364
Belisario                      ,89.0
Bell                           ,87.0
Bella Bollè                    ,83.5
Bella Donna                    ,84.0
Bella Grace                    ,87.0
Bella Ragazza                  ,85.0
Bella Sera                     ,84.0
Bella Vigna                    ,82.0
Bellacana                      ,86.0
Bellangelo                     ,87.1904761905
Bellaria                       ,87.6666666667
Bellarine Estate               ,88.0
Bellavista                     ,91.3333333333
Belle Ambiance                 ,86.3529411765
Belle Made For You             ,83.3333333333
Belle Vallée                   ,83.0
Bellenda                       ,86.0
Belles Vignes                  ,85.0
Bellingham                     ,88.0
Bellini                        ,85.6666666667
Bellisco                       ,82.0
Bellussi                       ,86.1111111111
Bellwether                     ,88.0
Belmondo                       ,81.0
Ben Ish                        ,85.3333333333
Benaddiction                   ,87.0
Benanti                        ,90.5
Benegas                        ,86.3333333333
Benessere                      ,86.1666666667
Beni di Batasiolo              ,89.1666666667
Benito Ferrara                 ,89.0
Benmarl                        ,87.1111111111
Bennett Family                 ,86.0
Bennett Valley Cellars         ,85.0
Benoît Daridan                 ,88.25
Benoît Girard                  ,90.0
Benton-Lane                    ,86.625
Benvenuti                      ,90.0
Benvenuto de la Serna          ,88.2857142857
Benziger                       ,87.4117647059
Bera                           ,85.5
Berberana                      ,85.1111111111
Beresan                        ,89.7142857143
Beresford                      ,87.6666666667
Berger                         ,88.2
Bergevin Lane                  ,88.0909090909
Bergström                      ,87.0
Beringer                       ,85.9375
Berlucchi                      ,89.5
Bernard Baudry                 ,90.5
Bernard Defaix                 ,87.0
Bernard et Christophe Richel   ,86.2
Bernard Magrez                 ,87.5
Bernardus                      ,87.2222222222
Bernat                         ,88.0
Bernhard Ott                   ,89.0
Bernier                        ,84.3333333333
Beronia                        ,86.3333333333
Berryessa Gap                  ,86.3333333333
Berryhill                      ,91.0
Bersano                        ,87.5
Bersi Serlini                  ,88.0
Bertaini                       ,87.0
Bertani                        ,85.8
Bertolani                      ,84.0
Besitos                        ,84.0
Beso de Vino                   ,84.6666666667
Besombes Moc Baril             ,83.0
Bessa                          ,90.0
Besserat de Bellefon           ,88.6666666667
Bestheim                       ,91.0
Bethel Heights                 ,90.5
Bex                            ,87.0
Beyerskloof                    ,87.6
Bianca Vigna                   ,86.4
Biancariva                     ,84.0
BiancaVigna                    ,87.5
Bianchi                        ,85.21875
Biasotto                       ,86.0
Bibbiano                       ,88.75
Bibich                         ,86.75
Biegler                        ,88.0
Bieler Family                  ,87.0
Bieler Père et Fils            ,86.75
Big Ass                        ,87.5
Big DeVine                     ,88.0
Big Guy                        ,88.0
Big House                      ,84.5
Big Smooth                     ,88.5
Big Vine                       ,85.0
Bigi                           ,85.8181818182
Bigvine                        ,85.0
Billecart-Salmon               ,94.2
Billhook                       ,87.5
Billsboro                      ,86.4230769231
Biltmore Estate                ,86.0
Bin 36                         ,91.0
Bindella                       ,88.3333333333
Bindi Sergardi                 ,86.5
Bink                           ,87.0
Binomio                        ,88.0
Binyamina                      ,86.75
Binz                           ,87.6666666667
Biokult                        ,88.75
Biondi Santi                   ,91.6666666667
Bird                           ,88.3333333333
Birdland                       ,88.0
Birgit Braunstein              ,89.0
Birichino                      ,89.5
Biscaye Baie                   ,87.0
Bisceglia                      ,86.6923076923
Bischöfliche Weingüter Trier   ,89.2222222222
Bishop's Peak                  ,87.8
Bisol                          ,88.5
Bissoni                        ,87.5
Bitner                         ,85.0
Bitácora                       ,82.5
Biutiful                       ,85.6666666667
Bivio                          ,85.0
Bixio                          ,87.0
Bizoe                          ,89.0
Björnson                       ,90.0
"Black Bear, Red Chair          ",85.0
Black Cabra                    ,85.6666666667
Black Elephant                 ,86.0
Black Ink                      ,84.5
Black Opal                     ,83.0
Black Pearl                    ,88.0
Black Saint Peter              ,88.5
Black Sheep                    ,83.5
Black Stallion                 ,86.25
Black Star Farms               ,86.3333333333
Black Swan                     ,84.0
Black's Station                ,87.1666666667
Blackbilly                     ,85.0
Blackburn Wine Company         ,85.3333333333
Blackett                       ,87.0
Blacklist                      ,85.0
Blacksmith                     ,87.2
Blackstone                     ,87.0
Bladen                         ,86.0
Blanc de Bleu                  ,82.5
Blanco Nieva                   ,87.5
Blandy's                       ,86.0
Blanville                      ,85.0
Blason                         ,85.2
Blason de Bourgogne            ,85.0
Bleasdale                      ,87.125
Bliss                          ,88.0
Block 50                       ,87.0
Block Nine                     ,86.0
Block Wines                    ,88.0
Blocks                         ,88.0
Blondie                        ,87.0
Bloomer Creek                  ,87.1538461538
Blue Cove                      ,86.0
Blue Fish                      ,88.25
Blue Hawk                      ,86.0
Blue Moon                      ,84.5
Blue Nomad                     ,85.0
Blue Pirate                    ,87.0
Blue Plate                     ,88.0
