variety, nocorr
Pinot Grigio-Sauvignon Blanc,1
Silvaner-Traminer,1
Folle Blanche,1
Cabernet-Malbec,1
Gelber Traminer,1
Meseguera,1
Tinta Negra Mole,1
Siegerrebe,1
Žilavka,1
Pinotage-Merlot,1
Kangoun,1
Cococciola,1
Syrah-Grenache-Viognier,1
Irsai Oliver,1
Sideritis,1
Prunelard,1
Doña Blanca,1
Forcallà,1
Cercial,1
Sauvignonasse,1
Blatina,1
Carcajolu,1
Roscetto,1
Grenache Gris,1
Mavroudi,1
Shiraz-Roussanne,1
Trajadura,1
Merlot-Shiraz,1
Xinisteri,1
Molinara,1
Moscato di Noto,1
Misket,1
Biancu Gentile,1
Tempranillo-Malbec,1
Tokay Pinot Gris,1
Tinta Madeira,1
Verdil,1
Dafni,1
Ryzlink Rýnský,1
Garnacha-Cabernet,1
Tinta Amarela,1
Vranac,1
Roussanne-Grenache Blanc,1
Tempranillo-Tannat,1
Sauvignon-Sémillon,1
Zelen,1
Vespaiolo,1
Pinot Blanc-Viognier,1
Ramisco,1
Karasakiz,1
Premsal,1
Frankovka,1
Kinali Yapincak,1
Merlot-Grenache,1
Jampal,1
Chardonnay-Pinot Gris,1
Blauburger,1
Picapoll,1
Espadeiro,1
Barbera-Nebbiolo,1
Athiri,1
Schwartzriesling,1
Tsolikouri,1
Petit Courbu,1
Tsapournakos,1
Malagouzia-Chardonnay,1
Mavrokalavryta,1
Blauburgunder,1
Macabeo-Moscatel,1
Kotsifali,1
Centesimino,1
Bobal-Cabernet Sauvignon,1
Catalanesca,1
Merseguera-Sauvignon Blanc,1
Viognier-Valdiguié,1
Paralleda,1
Früburgunder,1
Roditis-Moschofilero,1
Torontel,1
Albanello,1
Teroldego Rotaliano,1
Merlot-Petite Verdot,1
Gamza,1
Sauvignon Blanc-Sauvignon Gris,1
Colorino,1
Maria Gomes-Bical,1
Caprettone,1
Vermentino Nero,1
Petit Meslier,1
Garnacha-Cariñena,1
Parraleta,1
Riesling-Chardonnay,1
Tinto Velasco,1
Francisa,1
Pinot Blanc-Pinot Noir,1
Syrah-Bonarda,1
Sauvignon Musqué,1
Thrapsathiri,1
Tintilia ,1
Graševina,1
Morava,1
Gros Plant,1
Ojaleshi,1
Aidani,1
Terrantez,1
Pignolo,1
Ondenc,1
Piquepoul Blanc,1
Moschofilero-Chardonnay,1
Cabernet Sauvignon-Barbera,1
Muscadel,1
Bombino Nero,1
Biancolella,1
Syrah-Malbec,1
Babosa Negro,1
Merlot-Argaman,1
Valvin Muscat,1
Chardonel,1
Favorita,1
