,variety,year,price,points,priceq,country
273,Bordeaux-style Red Blend,2007,67.735042735,89,5.0,South Africa
274,Bordeaux-style Red Blend,2007,67.735042735,89,5.0,France
275,Bordeaux-style Red Blend,2007,67.735042735,89,5.0,New Zealand
276,Bordeaux-style Red Blend,2007,67.735042735,89,5.0,US
277,Bordeaux-style Red Blend,2007,67.735042735,89,5.0,Argentina
278,Bordeaux-style Red Blend,2008,54.3711790393,89,5.0,France
279,Bordeaux-style Red Blend,2008,54.3711790393,89,5.0,US
280,Bordeaux-style Red Blend,2008,54.3711790393,89,5.0,Hungary
281,Bordeaux-style Red Blend,2009,68.4328703704,89,5.0,France
282,Bordeaux-style Red Blend,2009,68.4328703704,89,5.0,US
283,Bordeaux-style Red Blend,2009,68.4328703704,89,5.0,Argentina
284,Bordeaux-style Red Blend,2010,47.012944983800004,89,5.0,US
285,Bordeaux-style Red Blend,2010,47.012944983800004,89,5.0,France
286,Bordeaux-style Red Blend,2010,47.012944983800004,89,5.0,South Africa
287,Bordeaux-style Red Blend,2010,47.012944983800004,89,5.0,Chile
288,Bordeaux-style Red Blend,2010,47.012944983800004,89,5.0,Australia
289,Bordeaux-style Red Blend,2011,42.459541984699996,88,5.0,US
290,Bordeaux-style Red Blend,2011,42.459541984699996,88,5.0,France
291,Bordeaux-style Red Blend,2011,42.459541984699996,88,5.0,Chile
292,Bordeaux-style Red Blend,2012,40.4296675192,89,5.0,US
293,Bordeaux-style Red Blend,2012,40.4296675192,89,5.0,France
294,Bordeaux-style Red Blend,2012,40.4296675192,89,5.0,Hungary
295,Bordeaux-style Red Blend,2012,40.4296675192,89,5.0,Israel
296,Bordeaux-style Red Blend,2013,53.5499153976,88,5.0,US
297,Bordeaux-style Red Blend,2013,53.5499153976,88,5.0,France
298,Bordeaux-style Red Blend,2013,53.5499153976,88,5.0,Argentina
299,Bordeaux-style Red Blend,2014,42.3380614657,89,5.0,France
300,Bordeaux-style Red Blend,2014,42.3380614657,89,5.0,US
301,Bordeaux-style Red Blend,2015,20.5740740741,87,2.0,France
302,Bordeaux-style Red Blend,2015,20.5740740741,87,2.0,US
303,Bordeaux-style Red Blend,2016,18.7826086957,86,1.0,France
304,Bordeaux-style White Blend,2000,15.0,84,0.0,France
305,Bordeaux-style White Blend,2001,9.0,85,0.0,France
306,Bordeaux-style White Blend,2004,,88,,France
307,Bordeaux-style White Blend,2005,93.2666666667,90,5.0,France
308,Bordeaux-style White Blend,2006,21.5625,89,2.0,France
309,Bordeaux-style White Blend,2007,67.5135135135,90,5.0,France
310,Bordeaux-style White Blend,2008,27.3846153846,89,3.0,France
311,Bordeaux-style White Blend,2009,78.6363636364,91,5.0,France
312,Bordeaux-style White Blend,2010,31.2407407407,89,4.0,France
313,Bordeaux-style White Blend,2011,27.3103448276,89,3.0,France
314,Bordeaux-style White Blend,2012,22.325,87,2.0,France
315,Bordeaux-style White Blend,2012,22.325,87,2.0,US
316,Bordeaux-style White Blend,2013,52.423529411800004,87,5.0,France
317,Bordeaux-style White Blend,2013,52.423529411800004,87,5.0,US
318,Bordeaux-style White Blend,2014,38.7058823529,88,4.0,France
319,Bordeaux-style White Blend,2014,38.7058823529,88,4.0,US
320,Bordeaux-style White Blend,2015,17.6176470588,86,1.0,France
321,Bordeaux-style White Blend,2016,15.6052631579,86,1.0,France
322,Bovale,2008,30.0,88,3.0,Italy
323,Bovale,2009,30.0,89,3.0,Italy
324,Bovale,2011,30.0,91,3.0,Italy
325,Brachetto,2007,22.0,82,2.0,Italy
326,Brachetto,2008,17.0,86,1.0,Italy
327,Brachetto,2009,27.0,85,3.0,Italy
328,Brachetto,2010,18.0,85,1.0,Italy
329,Brachetto,2011,18.8,84,1.0,Italy
330,Braucol,2013,40.0,90,4.0,France
331,Braucol,2014,29.0,92,3.0,France
332,Braucol,2016,12.0,87,0.0,France
333,Bual,1969,230.0,98,5.0,Portugal
334,Bual,1987,194.0,95,5.0,Portugal
335,Bual,1995,,93,,Portugal
336,Bual,2002,50.0,95,5.0,Portugal
337,Bual,2003,50.0,92,5.0,Portugal
338,Bual,2005,42.0,92,5.0,Portugal
339,Bual,2008,34.0,94,4.0,Portugal
340,Cabernet,2006,,87,,Italy
341,Cabernet,2007,13.0,84,0.0,Italy
342,Cabernet,2013,12.0,87,0.0,South Africa
343,Cabernet Blend,1998,49.3333333333,87,5.0,Italy
