variety,year,price,points,priceq
Bobal                     ,2011,57.5,90,5.0
Bobal                     ,2012,18.75,87,1.0
Bobal                     ,2013,15.5,84,1.0
Bobal                     ,2014,12.75,85,0.0
Bobal                     ,2015,13.0,85,0.0
Bobal-Cabernet Sauvignon  ,2015,9.0,84,0.0
Bombino Bianco            ,2009,,86,
Bombino Bianco            ,2011,30.0,88,3.0
Bombino Nero              ,2007,11.0,87,0.0
Bonarda                   ,2005,12.0,83,0.0
Bonarda                   ,2006,13.75,85,0.0
Bonarda                   ,2007,13.1111111111,85,0.0
Bonarda                   ,2008,15.4,85,1.0
Bonarda                   ,2009,14.916666666700001,86,0.0
Bonarda                   ,2010,17.3076923077,86,1.0
Bonarda                   ,2011,16.3333333333,87,1.0
Bonarda                   ,2012,18.8235294118,86,1.0
Bonarda                   ,2013,20.111111111099998,85,2.0
Bonarda                   ,2014,18.1666666667,87,1.0
Bonarda                   ,2015,15.8,86,1.0
Bonarda                   ,2016,14.0,88,0.0
Bordeaux-style Red Blend  ,-1,33.5,86,4.0
Bordeaux-style Red Blend  ,1840,75.0,91,5.0
Bordeaux-style Red Blend  ,1856,36.0,87,4.0
Bordeaux-style Red Blend  ,1994,21.0,85,2.0
Bordeaux-style Red Blend  ,1995,15.0,86,0.0
Bordeaux-style Red Blend  ,1996,35.0,86,4.0
Bordeaux-style Red Blend  ,1997,58.36,89,5.0
Bordeaux-style Red Blend  ,1998,40.2307692308,88,5.0
Bordeaux-style Red Blend  ,1999,37.1111111111,87,4.0
Bordeaux-style Red Blend  ,2000,63.292682926800005,90,5.0
Bordeaux-style Red Blend  ,2001,45.25,90,5.0
Bordeaux-style Red Blend  ,2002,24.3333333333,87,3.0
Bordeaux-style Red Blend  ,2003,50.891891891899995,87,5.0
Bordeaux-style Red Blend  ,2004,52.393939393900006,88,5.0
Bordeaux-style Red Blend  ,2005,58.0636942675,89,5.0
Bordeaux-style Red Blend  ,2006,55.127906976700004,89,5.0
Bordeaux-style Red Blend  ,2007,67.735042735,89,5.0
Bordeaux-style Red Blend  ,2008,54.3711790393,89,5.0
Bordeaux-style Red Blend  ,2009,68.4328703704,89,5.0
Bordeaux-style Red Blend  ,2010,47.012944983800004,89,5.0
Bordeaux-style Red Blend  ,2011,42.459541984699996,88,5.0
Bordeaux-style Red Blend  ,2012,40.4296675192,89,5.0
Bordeaux-style Red Blend  ,2013,53.5499153976,88,5.0
Bordeaux-style Red Blend  ,2014,42.3380614657,89,5.0
Bordeaux-style Red Blend  ,2015,20.5740740741,87,2.0
Bordeaux-style Red Blend  ,2016,18.7826086957,86,1.0
Bordeaux-style White Blend,1998,8.5,86,0.0
Bordeaux-style White Blend,1999,10.0,82,0.0
Bordeaux-style White Blend,2000,15.0,84,0.0
Bordeaux-style White Blend,2001,9.0,85,0.0
Bordeaux-style White Blend,2003,25.0,87,3.0
Bordeaux-style White Blend,2004,,88,
Bordeaux-style White Blend,2005,93.2666666667,90,5.0
Bordeaux-style White Blend,2006,21.5625,89,2.0
Bordeaux-style White Blend,2007,67.5135135135,90,5.0
Bordeaux-style White Blend,2008,27.3846153846,89,3.0
Bordeaux-style White Blend,2009,78.6363636364,91,5.0
Bordeaux-style White Blend,2010,31.2407407407,89,4.0
Bordeaux-style White Blend,2011,27.3103448276,89,3.0
Bordeaux-style White Blend,2012,22.325,87,2.0
Bordeaux-style White Blend,2013,52.423529411800004,87,5.0
Bordeaux-style White Blend,2014,38.7058823529,88,4.0
Bordeaux-style White Blend,2015,17.6176470588,86,1.0
Bordeaux-style White Blend,2016,15.6052631579,86,1.0
Bovale                    ,2008,30.0,88,3.0
Bovale                    ,2009,30.0,89,3.0
Bovale                    ,2011,30.0,91,3.0
BoÄazkere                ,2010,33.0,89,4.0
BoÄazkere                ,2011,30.0,91,3.0
BoÄazkere                ,2014,20.0,89,2.0
Brachetto                 ,-1,14.833333333299999,82,0.0
Brachetto                 ,2007,22.0,82,2.0
Brachetto                 ,2008,17.0,86,1.0
Brachetto                 ,2009,27.0,85,3.0
Brachetto                 ,2010,18.0,85,1.0
Brachetto                 ,2011,18.8,84,1.0
Braucol                   ,2012,27.0,92,3.0
Braucol                   ,2013,40.0,90,4.0
Braucol                   ,2014,29.0,92,3.0
Braucol                   ,2016,12.0,87,0.0
Bual                      ,1969,230.0,98,5.0
Bual                      ,1987,194.0,95,5.0
Bual                      ,1995,,93,
Bual                      ,2002,50.0,95,5.0
Bual                      ,2003,50.0,92,5.0
Bual                      ,2005,42.0,92,5.0
Bual                      ,2008,34.0,94,4.0
Cabernet                  ,2006,,87,
Cabernet                  ,2007,13.0,84,0.0
Cabernet                  ,2008,19.0,90,1.0
