variety,year,price,points
Bordeaux-style Red Blend  ,1856,36.0,87
Bordeaux-style Red Blend  ,1994,21.0,85
Bordeaux-style Red Blend  ,1995,15.0,86
Bordeaux-style Red Blend  ,1996,35.0,86
Bordeaux-style Red Blend  ,1997,58.36,89
Bordeaux-style Red Blend  ,1998,40.2307692308,88
Bordeaux-style Red Blend  ,1999,37.1111111111,87
Bordeaux-style Red Blend  ,2000,63.2926829268,90
Bordeaux-style Red Blend  ,2001,45.25,90
Bordeaux-style Red Blend  ,2002,24.3333333333,87
Bordeaux-style Red Blend  ,2003,50.8918918919,87
Bordeaux-style Red Blend  ,2004,52.3939393939,88
Bordeaux-style Red Blend  ,2005,58.0636942675,89
Bordeaux-style Red Blend  ,2006,55.1279069767,89
Bordeaux-style Red Blend  ,2007,67.735042735,89
Bordeaux-style Red Blend  ,2008,54.3711790393,89
Bordeaux-style Red Blend  ,2009,68.4328703704,89
Bordeaux-style Red Blend  ,2010,47.0129449838,89
Bordeaux-style Red Blend  ,2011,42.4595419847,88
Bordeaux-style Red Blend  ,2012,40.4296675192,89
Bordeaux-style Red Blend  ,2013,53.5499153976,88
Bordeaux-style Red Blend  ,2014,42.3380614657,89
Bordeaux-style Red Blend  ,2015,20.5740740741,87
Bordeaux-style Red Blend  ,2016,18.7826086957,86
Bordeaux-style White Blend,1998,8.5,86
Bordeaux-style White Blend,1999,10.0,82
Bordeaux-style White Blend,2000,15.0,84
Bordeaux-style White Blend,2001,9.0,85
Bordeaux-style White Blend,2003,25.0,87
Bordeaux-style White Blend,2004,,88
Bordeaux-style White Blend,2005,93.2666666667,90
Bordeaux-style White Blend,2006,21.5625,89
Bordeaux-style White Blend,2007,67.5135135135,90
Bordeaux-style White Blend,2008,27.3846153846,89
Bordeaux-style White Blend,2009,78.6363636364,91
Bordeaux-style White Blend,2010,31.2407407407,89
Bordeaux-style White Blend,2011,27.3103448276,89
Bordeaux-style White Blend,2012,22.325,87
Bordeaux-style White Blend,2013,52.4235294118,87
Bordeaux-style White Blend,2014,38.7058823529,88
Bordeaux-style White Blend,2015,17.6176470588,86
Bordeaux-style White Blend,2016,15.6052631579,86
Bovale                    ,2008,30.0,88
Bovale                    ,2009,30.0,89
Bovale                    ,2011,30.0,91
Boğazkere                ,2010,33.0,89
Boğazkere                ,2011,30.0,91
Boğazkere                ,2014,20.0,89
Brachetto                 ,-1,14.8333333333,82
Brachetto                 ,2007,22.0,82
Brachetto                 ,2008,17.0,86
Brachetto                 ,2009,27.0,85
Brachetto                 ,2010,18.0,85
Brachetto                 ,2011,18.8,84
Braucol                   ,2012,27.0,92
Braucol                   ,2013,40.0,90
Braucol                   ,2014,29.0,92
Braucol                   ,2016,12.0,87
Bual                      ,1969,230.0,98
Bual                      ,1987,194.0,95
Bual                      ,1995,,93
Bual                      ,2002,50.0,95
Bual                      ,2003,50.0,92
Bual                      ,2005,42.0,92
Bual                      ,2008,34.0,94
Cabernet                  ,2006,,87
Cabernet                  ,2007,13.0,84
Cabernet                  ,2008,19.0,90
Cabernet                  ,2011,13.0,86
Cabernet                  ,2012,20.25,87
Cabernet                  ,2013,12.0,87
Cabernet Blend            ,1998,49.3333333333,87
Cabernet Blend            ,1999,56.0,92
Cabernet Blend            ,2000,26.5,87
Cabernet Blend            ,2002,9.0,85
Cabernet Blend            ,2003,97.0,88
Cabernet Blend            ,2004,48.0,88
Cabernet Blend            ,2005,29.0,89
Cabernet Blend            ,2006,62.8333333333,88
Cabernet Blend            ,2007,27.625,87
Cabernet Blend            ,2008,63.4285714286,87
Cabernet Blend            ,2009,38.6,88
Cabernet Blend            ,2010,41.5,91
Cabernet Blend            ,2011,84.0,91
Cabernet Blend            ,2012,59.8333333333,89
Cabernet Blend            ,2013,75.0,90
Cabernet Blend            ,2014,24.3333333333,89
Cabernet Franc            ,-1,21.1428571429,86
Cabernet Franc            ,1852,23.0,87
Cabernet Franc            ,1997,23.0,84
Cabernet Franc            ,1998,15.0,85
Cabernet Franc            ,1999,23.5714285714,84
Cabernet Franc            ,2000,21.6666666667,87
Cabernet Franc            ,2001,25.0,87
Cabernet Franc            ,2003,45.2,85
Cabernet Franc            ,2004,44.96,88
Cabernet Franc            ,2005,36.8181818182,87
Cabernet Franc            ,2006,34.0212765957,87
Cabernet Franc            ,2007,31.9295774648,86
Cabernet Franc            ,2008,38.6833333333,88
Cabernet Franc            ,2009,34.5111111111,87
Cabernet Franc            ,2010,35.4540540541,87
Cabernet Franc            ,2011,39.3543307087,88
Cabernet Franc            ,2012,36.0217391304,88
Cabernet Franc            ,2013,35.5258215962,88
Cabernet Franc            ,2014,33.4404761905,88
Cabernet Franc            ,2015,24.0909090909,88
Cabernet Franc            ,2016,21.0,88
Cabernet Franc-Cabernet Sa,-1,,90
Cabernet Franc-Cabernet Sa,2008,22.0,86
Cabernet Franc-Cabernet Sa,2009,21.5,86
Cabernet Franc-Cabernet Sa,2010,23.5,90
Cabernet Franc-Cabernet Sa,2011,60.0,92
Cabernet Franc-Cabernet Sa,2012,38.0,90
Cabernet Franc-Cabernet Sa,2013,52.5,91
Cabernet Franc-Cabernet Sa,2014,17.3333333333,88
Cabernet Franc-Cabernet Sa,2015,17.0,91
Cabernet Franc-Carmenère ,2011,12.0,86
Cabernet Franc-Carmenère ,2012,12.0,86
Cabernet Franc-Lemberger  ,2013,20.0,88
Cabernet Franc-Lemberger  ,2015,20.0,86
Cabernet Franc-Malbec     ,2012,38.0,91
Cabernet Franc-Malbec     ,2013,79.0,91
Cabernet Franc-Merlot     ,2009,59.0,86
Cabernet Franc-Merlot     ,2010,38.75,89
Cabernet Franc-Merlot     ,2011,42.5,89
Cabernet Franc-Merlot     ,2012,47.5,90
Cabernet Franc-Merlot     ,2013,64.6666666667,90
Cabernet Franc-Merlot     ,2014,31.0,89
Cabernet Franc-Merlot     ,2015,23.0,89
Cabernet Merlot           ,-1,14.5,84
Cabernet Merlot           ,1848,40.0,89
Cabernet Merlot           ,2002,57.0,89
Cabernet Merlot           ,2003,29.0,86
Cabernet Merlot           ,2004,30.5,88
Cabernet Merlot           ,2005,14.5,84
Cabernet Merlot           ,2007,11.0,89
Cabernet Merlot           ,2008,12.3333333333,86
Cabernet Merlot           ,2011,25.0,90
Cabernet Merlot           ,2012,17.5,88
Cabernet Merlot           ,2013,8.0,82
Cabernet Merlot           ,2015,8.0,85
Cabernet Moravia          ,-1,18.0,85
Cabernet Moravia          ,2009,18.0,88
Cabernet Pfeffer          ,2010,25.0,84
Cabernet Pfeffer          ,2012,35.0,91
Cabernet Sauvignon        ,-1,17.4347826087,84
Cabernet Sauvignon        ,1840,75.0,92
Cabernet Sauvignon        ,1848,25.0,91
Cabernet Sauvignon        ,1852,22.0,87
Cabernet Sauvignon        ,1856,37.0,84
Cabernet Sauvignon        ,1870,30.0,85
Cabernet Sauvignon        ,1985,170.0,86
Cabernet Sauvignon        ,1986,170.0,86
Cabernet Sauvignon        ,1987,170.0,89
Cabernet Sauvignon        ,1989,14.0,86
Cabernet Sauvignon        ,1990,40.0,88
Cabernet Sauvignon        ,1991,160.0,88
Cabernet Sauvignon        ,1992,102.5,88
Cabernet Sauvignon        ,1994,82.5,88
Cabernet Sauvignon        ,1995,26.0,85
Cabernet Sauvignon        ,1996,38.8,86
Cabernet Sauvignon        ,1997,48.9098360656,89
Cabernet Sauvignon        ,1998,28.9423076923,86
Cabernet Sauvignon        ,1999,34.125,87
Cabernet Sauvignon        ,2000,24.2051282051,86
Cabernet Sauvignon        ,2001,28.9117647059,87
Cabernet Sauvignon        ,2002,27.3333333333,87
Cabernet Sauvignon        ,2003,45.8333333333,87
Cabernet Sauvignon        ,2004,53.1178861789,88
Cabernet Sauvignon        ,2005,45.1921487603,88
Cabernet Sauvignon        ,2006,42.3564547206,88
Cabernet Sauvignon        ,2007,46.8045977011,88
Cabernet Sauvignon        ,2008,50.3803863299,88
